county,state,county_state,unemp_rate,higherunemp,evict_rate,pred_evrate,pred_error,higherevict
Scott County,Iowa,"Scott County, IA",0.04730000000000001,0.14730000000000001,0.0429,0.0284554662114308,-0.014444533788569202,0.03537505519569023
Scott County,Illinois,"Scott County, IL",0.0653,0.1653,0.0024,0.010691237858158774,0.008291237858158775,0.013939669447427184
Scott County,Indiana,"Scott County, IN",0.059600000000000014,0.15960000000000002,0.0052,0.016981073403970252,0.011781073403970253,0.02210524325594602
Scott County,Kansas,"Scott County, KS",0.026100000000000012,0.12610000000000002,0.0056,0.010908577288581092,0.005308577288581092,0.014072413196562468
Scott County,Kentucky,"Scott County, KY",0.0446,0.1446,NA,0.019994516983915724,NA,0.025531184055239454
Scott County,Minnesota,"Scott County, MN",0.03420000000000001,0.1342,0.02,0.028348586371929482,0.008348586371929482,0.035184718349321006
Scott County,Missouri,"Scott County, MO",0.05810000000000001,0.15810000000000002,0.018,0.014749777664438609,-0.00325022233556139,0.018692180983916753
Scott County,Mississippi,"Scott County, MS",0.05099999999999999,0.151,0.0209,0.013148545081684889,-0.007751454918315109,0.016708677595754163
Scott County,Tennessee,"Scott County, TN",0.09669999999999998,0.19669999999999999,0.0046,0.01439771162380144,0.00979771162380144,0.01839580831787223
Scott County,Virginia,"Scott County, VA",0.0542,0.1542,0.0078,0.018995765897459018,0.011195765897459018,0.02442419442891593
Scotts Bluff County,Nebraska,"Scotts Bluff County, NE",0.0363,0.1363,0.0208,0.015000067000561801,-0.005799932999438198,0.018893300682187416
Screven County,Georgia,"Screven County, GA",0.08980000000000002,0.18980000000000002,0.0048,0.01455905113091282,0.00975905113091282,0.018488265314637375
Scurry County,Texas,"Scurry County, TX",0.04319999999999999,0.1432,0.0073,0.00974129881039543,0.00244129881039543,0.01266207443529587
Searcy County,Arkansas,"Searcy County, AR",0.058499999999999996,0.1585,NA,0.019610178661831238,NA,0.024255360596775806
Sebastian County,Arkansas,"Sebastian County, AR",0.05050000000000002,0.15050000000000002,NA,0.027536645899416977,NA,0.03424067751585605
Sedgwick County,Colorado,"Sedgwick County, CO",0.0368,0.1368,0.0043,0.009912115820416475,0.005612115820416475,0.012465898151401492
Sedgwick County,Kansas,"Sedgwick County, KS",0.0504,0.1504,0.0459,0.027026357096664625,-0.018873642903335378,0.03372231271552742
Seminole County,Florida,"Seminole County, FL",0.0504,0.1504,0.0263,0.030724607135702874,0.004424607135702873,0.037830524817617804
Seminole County,Georgia,"Seminole County, GA",0.08409999999999998,0.18409999999999999,3e-4,0.019640649463883306,0.019340649463883305,0.02432561604360823
Seminole County,Oklahoma,"Seminole County, OK",0.06889999999999999,0.1689,0.0278,0.01236479950775194,-0.015435200492248058,0.015864675035823603
Seneca County,New York,"Seneca County, NY",0.05410000000000001,0.15410000000000001,NA,0.01100680756728238,NA,0.013763876839627664
Seneca County,Ohio,"Seneca County, OH",0.05610000000000001,0.15610000000000002,0.0263,0.015006404105716168,-0.011293595894283833,0.018992279926474547
Sequatchie County,Tennessee,"Sequatchie County, TN",0.06689999999999999,0.1669,0.0198,0.019516965523025204,-2.830344769747979e-4,0.02507651371162765
Sequoyah County,Oklahoma,"Sequoyah County, OK",0.0665,0.1665,0.0257,0.027571671232481814,0.0018716712324818134,0.03435558505089711
Sevier County,Arkansas,"Sevier County, AR",0.0615,0.1615,NA,0.011321593203174104,NA,0.014600449790989218
Sevier County,Tennessee,"Sevier County, TN",0.06079999999999999,0.1608,NA,0.01784552870910592,NA,0.022244710259773117
Sevier County,Utah,"Sevier County, UT",0.04530000000000001,0.1453,7e-4,0.009213851291608746,0.008513851291608747,0.01168270892185905
Seward County,Kansas,"Seward County, KS",0.03950000000000001,0.1395,0.008,0.011618182936737385,0.003618182936737385,0.014888125324542204
Seward County,Nebraska,"Seward County, NE",0.0305,0.1305,0.006,0.021748814408586878,0.01574881440858688,0.02758648762584926
Shackelford County,Texas,"Shackelford County, TX",0.031299999999999994,0.1313,0.0226,0.010155749043492202,-0.012444250956507797,0.013164910395952634
Shannon County,Missouri,"Shannon County, MO",0.0811,0.1811,6e-4,0.01019427102778591,0.00959427102778591,0.01338355319798189
Sharkey County,Mississippi,"Sharkey County, MS",0.1013,0.2013,4e-4,0.013670372711918115,0.013270372711918116,0.017446839266090267
Sharp County,Arkansas,"Sharp County, AR",0.0711,0.1711,NA,0.019762301389671853,NA,0.024479915777996717
Shasta County,California,"Shasta County, CA",0.08409999999999998,0.18409999999999999,0.0164,0.02819443507556771,0.011794435075567707,0.0340707164996018
Shawano County,Wisconsin,"Shawano County, WI",0.051199999999999996,0.1512,0.0147,0.011481266427732447,-0.0032187335722675525,0.014829630549066795
Shawnee County,Kansas,"Shawnee County, KS",0.04500000000000001,0.14500000000000002,0.0463,0.029672290306278916,-0.016627709693721085,0.03672603786035377
Sheboygan County,Wisconsin,"Sheboygan County, WI",0.04100000000000001,0.14100000000000001,0.0195,0.020254980417445525,7.549804174455249e-4,0.025873684176078573
Shelby County,Alabama,"Shelby County, AL",0.0416,0.1416,0.005,0.02335361010735253,0.01835361010735253,0.029407579013713856
Shelby County,Iowa,"Shelby County, IA",0.030299999999999994,0.1303,0.0118,0.010424792666596199,-0.001375207333403801,0.013522309795583411
Shelby County,Illinois,"Shelby County, IL",0.06289999999999998,0.1629,0.0119,0.014621303008141682,0.0027213030081416813,0.018581246891705823
Shelby County,Indiana,"Shelby County, IN",0.049500000000000016,0.14950000000000002,0.0085,0.025951839649197467,0.017451839649197467,0.032554941115821724
Shelby County,Kentucky,"Shelby County, KY",0.044300000000000006,0.1443,0.0261,0.024594979250709362,-0.0015050207492906392,0.030862226446250658
