county,state,county_state,income_group,shortage
Becker County,Minnesota,"Becker County, MN",r_gap30,375
Beckham County,Oklahoma,"Beckham County, OK",r_gap30,90
Bedford County,Pennsylvania,"Bedford County, PA",r_gap30,585
Bedford County,Tennessee,"Bedford County, TN",r_gap30,590
Bedford County,Virginia,"Bedford County, VA",r_gap30,740
Bee County,Texas,"Bee County, TX",r_gap30,555
Belknap County,New Hampshire,"Belknap County, NH",r_gap30,865
Bell County,Kentucky,"Bell County, KY",r_gap30,830
Bell County,Texas,"Bell County, TX",r_gap30,6295
Belmont County,Ohio,"Belmont County, OH",r_gap30,510
Beltrami County,Minnesota,"Beltrami County, MN",r_gap30,955
Ben Hill County,Georgia,"Ben Hill County, GA",r_gap30,535
Benewah County,Idaho,"Benewah County, ID",r_gap30,114
Bennett County,South Dakota,"Bennett County, SD",r_gap30,50
Bennington County,Vermont,"Bennington County, VT",r_gap30,475
Benson County,North Dakota,"Benson County, ND",r_gap30,25
Bent County,Colorado,"Bent County, CO",r_gap30,225
Benton County,Arkansas,"Benton County, AR",r_gap30,3490
Benton County,Iowa,"Benton County, IA",r_gap30,110
Benton County,Indiana,"Benton County, IN",r_gap30,145
Benton County,Minnesota,"Benton County, MN",r_gap30,1045
Benton County,Missouri,"Benton County, MO",r_gap30,369
Benton County,Mississippi,"Benton County, MS",r_gap30,35
Benton County,Oregon,"Benton County, OR",r_gap30,4400
Benton County,Tennessee,"Benton County, TN",r_gap30,150
Benton County,Washington,"Benton County, WA",r_gap30,3105
Benzie County,Michigan,"Benzie County, MI",r_gap30,60
Bergen County,New Jersey,"Bergen County, NJ",r_gap30,21015
Berkeley County,South Carolina,"Berkeley County, SC",r_gap30,2405
Berkeley County,West Virginia,"Berkeley County, WV",r_gap30,1475
Berks County,Pennsylvania,"Berks County, PA",r_gap30,7725
Berkshire County,Massachusetts,"Berkshire County, MA",r_gap30,2855
Bernalillo County,New Mexico,"Bernalillo County, NM",r_gap30,18400
Berrien County,Georgia,"Berrien County, GA",r_gap30,425
Berrien County,Michigan,"Berrien County, MI",r_gap30,3105
Bertie County,North Carolina,"Bertie County, NC",r_gap30,370
Bethel Census Area,Alaska,"Bethel Census Area, AK",r_gap30,110
Bexar County,Texas,"Bexar County, TX",r_gap30,38815
Bibb County,Alabama,"Bibb County, AL",r_gap30,345
Bibb County,Georgia,"Bibb County, GA",r_gap30,5205
Bienville Parish,Louisiana,"Bienville Parish, LA",r_gap30,220
Big Horn County,Montana,"Big Horn County, MT",r_gap30,140
Big Horn County,Wyoming,"Big Horn County, WY",r_gap30,10
Big Stone County,Minnesota,"Big Stone County, MN",r_gap30,34
Billings County,North Dakota,"Billings County, ND",r_gap30,0
Bingham County,Idaho,"Bingham County, ID",r_gap30,285
Black Hawk County,Iowa,"Black Hawk County, IA",r_gap30,3720
Blackford County,Indiana,"Blackford County, IN",r_gap30,120
Bladen County,North Carolina,"Bladen County, NC",r_gap30,825
Blaine County,Idaho,"Blaine County, ID",r_gap30,235
Blaine County,Montana,"Blaine County, MT",r_gap30,50
Blaine County,Nebraska,"Blaine County, NE",r_gap30,0
Blaine County,Oklahoma,"Blaine County, OK",r_gap30,95
Blair County,Pennsylvania,"Blair County, PA",r_gap30,2695
Blanco County,Texas,"Blanco County, TX",r_gap30,55
Bland County,Virginia,"Bland County, VA",r_gap30,55
Bleckley County,Georgia,"Bleckley County, GA",r_gap30,239
Bledsoe County,Tennessee,"Bledsoe County, TN",r_gap30,115
Blount County,Alabama,"Blount County, AL",r_gap30,315
Blount County,Tennessee,"Blount County, TN",r_gap30,1790
Blue Earth County,Minnesota,"Blue Earth County, MN",r_gap30,1595
Boise County,Idaho,"Boise County, ID",r_gap30,39
Bolivar County,Mississippi,"Bolivar County, MS",r_gap30,1040
Bollinger County,Missouri,"Bollinger County, MO",r_gap30,160
Bon Homme County,South Dakota,"Bon Homme County, SD",r_gap30,9
Bond County,Illinois,"Bond County, IL",r_gap30,10
Bonner County,Idaho,"Bonner County, ID",r_gap30,520
Bonneville County,Idaho,"Bonneville County, ID",r_gap30,1520
Boone County,Arkansas,"Boone County, AR",r_gap30,485
Boone County,Iowa,"Boone County, IA",r_gap30,285
Boone County,Illinois,"Boone County, IL",r_gap30,455
Boone County,Indiana,"Boone County, IN",r_gap30,555
Boone County,Kentucky,"Boone County, KY",r_gap30,1585
Boone County,Missouri,"Boone County, MO",r_gap30,7580
Boone County,Nebraska,"Boone County, NE",r_gap30,19
Boone County,West Virginia,"Boone County, WV",r_gap30,265
Borden County,Texas,"Borden County, TX",r_gap30,0
Bosque County,Texas,"Bosque County, TX",r_gap30,141
Bossier Parish,Louisiana,"Bossier Parish, LA",r_gap30,2365
Botetourt County,Virginia,"Botetourt County, VA",r_gap30,164
Bottineau County,North Dakota,"Bottineau County, ND",r_gap30,100
Boulder County,Colorado,"Boulder County, CO",r_gap30,11075
Boundary County,Idaho,"Boundary County, ID",r_gap30,135
Bourbon County,Kansas,"Bourbon County, KS",r_gap30,245
Bourbon County,Kentucky,"Bourbon County, KY",r_gap30,350
Bowie County,Texas,"Bowie County, TX",r_gap30,1875
Bowman County,North Dakota,"Bowman County, ND",r_gap30,30
Box Butte County,Nebraska,"Box Butte County, NE",r_gap30,130
Box Elder County,Utah,"Box Elder County, UT",r_gap30,435
Boyd County,Kentucky,"Boyd County, KY",r_gap30,935
Boyd County,Nebraska,"Boyd County, NE",r_gap30,0
Boyle County,Kentucky,"Boyle County, KY",r_gap30,430
Bracken County,Kentucky,"Bracken County, KY",r_gap30,235
Bradford County,Florida,"Bradford County, FL",r_gap30,570
Bradford County,Pennsylvania,"Bradford County, PA",r_gap30,560
Bradley County,Arkansas,"Bradley County, AR",r_gap30,230
Bradley County,Tennessee,"Bradley County, TN",r_gap30,1530
Branch County,Michigan,"Branch County, MI",r_gap30,451
Brantley County,Georgia,"Brantley County, GA",r_gap30,179
Braxton County,West Virginia,"Braxton County, WV",r_gap30,99
Brazoria County,Texas,"Brazoria County, TX",r_gap30,4840
Brazos County,Texas,"Brazos County, TX",r_gap30,11150
Breathitt County,Kentucky,"Breathitt County, KY",r_gap30,220
Breckinridge County,Kentucky,"Breckinridge County, KY",r_gap30,115
Bremer County,Iowa,"Bremer County, IA",r_gap30,225
Brevard County,Florida,"Brevard County, FL",r_gap30,8520
Brewster County,Texas,"Brewster County, TX",r_gap30,145
Briscoe County,Texas,"Briscoe County, TX",r_gap30,10
Bristol Bay Borough,Alaska,"Bristol Bay Borough, AK",r_gap30,10
Bristol city,Virginia,"Bristol city, VA",r_gap30,495
Bristol County,Massachusetts,"Bristol County, MA",r_gap30,13595
Bristol County,Rhode Island,"Bristol County, RI",r_gap30,1020
Broadwater County,Montana,"Broadwater County, MT",r_gap30,60
Bronx County,New York,"Bronx County, NY",r_gap30,105455
Brooke County,West Virginia,"Brooke County, WV",r_gap30,405
Brookings County,South Dakota,"Brookings County, SD",r_gap30,755
Brooks County,Georgia,"Brooks County, GA",r_gap30,170
Brooks County,Texas,"Brooks County, TX",r_gap30,245
Broome County,New York,"Broome County, NY",r_gap30,6760
Broomfield County,Colorado,"Broomfield County, CO",r_gap30,965
Broward County,Florida,"Broward County, FL",r_gap30,43345
Brown County,Illinois,"Brown County, IL",r_gap30,24
Brown County,Indiana,"Brown County, IN",r_gap30,140
Brown County,Kansas,"Brown County, KS",r_gap30,104
